Data,Ativo,Tipo,Preço,RSI,Sinal,Confiança,Taxa_Acerto_Buy,Taxa_Acerto_Sell
2026-01-11 19:55,LMT,Ação,542.92,71.5,BUY,35,71.74,38.46
2026-01-11 19:55,GOOG,Ação,329.14,68.53,BUY,34,68.92,40.0
2026-01-11 19:55,GOOGL,Ação,328.57,69.03,BUY,34,68.92,40.0
2026-01-11 19:55,BLK,Ação,1085.1,51.36,BUY,32,64.29,29.63
2026-01-11 19:55,QCOM,Ação,177.78,54.09,BUY,31,62.0,22.22
2026-01-11 19:55,MS,Ação,186.32,65.32,BUY,31,63.64,25.0
2026-01-11 19:55,SPGI,Ação,541.94,68.26,BUY,30,60.0,38.71
2026-01-11 19:55,JPM,Ação,329.19,59.58,BUY,30,60.81,0.0
2026-01-11 19:55,VT,ETF,144.59,66.93,BUY,30,60.0,0.0
2026-01-11 19:55,IJH,ETF,69.11,66.22,BUY,29,59.57,20.0
2026-01-11 19:55,NVDA,Ação,184.86,49.7,BUY,28,57.38,21.43
2026-01-11 19:55,ACWI,ETF,144.75,66.04,BUY,28,57.14,0.0
2026-01-11 19:55,VTI,ETF,342.4,62.75,BUY,28,56.0,0.0
2026-01-11 19:55,SCZ,ETF,80.28,77.75,BUY,28,56.52,11.76
2026-01-11 19:55,QQQ,ETF,626.65,58.17,BUY,28,57.53,0.0
2026-01-11 19:55,XLK,ETF,146.15,54.23,BUY,28,56.52,0.0
2026-01-11 19:55,VEA,ETF,64.53,74.24,BUY,27,54.79,20.0
2026-01-11 19:55,KO,Ação,70.51,55.41,SELL,27,37.84,55.81
2026-01-11 19:55,IVV,ETF,697.08,62.26,BUY,27,55.13,0.0
2026-01-11 19:55,RTX,Ação,188.5,63.12,BUY,27,55.71,0.0
2026-01-11 19:55,SPY,ETF,694.07,62.26,BUY,27,55.7,0.0
2026-01-11 19:55,VOO,ETF,638.31,62.33,BUY,27,55.13,0.0
2026-01-11 19:55,IJR,ETF,126.42,65.54,BUY,27,55.32,34.62
2026-01-11 19:55,VYM,ETF,147.26,62.84,BUY,27,54.55,16.67
2026-01-11 19:55,VTV,ETF,196.82,66.73,BUY,26,53.73,23.53
2026-01-11 19:55,GS,Ação,938.98,65.41,BUY,26,53.85,25.0
2026-01-11 19:55,MDT,Ação,97.53,46.82,BUY,26,53.73,0.0
2026-01-11 19:55,UNH,Ação,343.98,58.23,BUY,25,51.72,50.0
2026-01-11 19:55,HD,Ação,374.64,68.28,SELL,25,67.65,51.35
2026-01-11 19:55,CAT,Ação,617.62,60.74,BUY,25,51.47,0.0
2026-01-11 19:55,IEMG,ETF,70.04,72.56,BUY,25,50.7,0.0
2026-01-11 19:55,AGG,ETF,100.16,57.28,BUY,25,50.0,22.22
2026-01-11 19:55,LIN,Ação,444.08,71.41,BUY,25,50.0,52.38
2026-01-11 19:55,INTC,Ação,45.55,71.29,BUY,25,51.22,61.54
2026-01-11 19:55,AMZN,Ação,247.38,69.2,BUY,25,51.92,33.33
2026-01-11 19:55,VIG,ETF,224.76,62.33,BUY,24,48.48,18.75
2026-01-11 19:55,IEFA,ETF,92.14,73.3,BUY,23,47.83,26.67
2026-01-11 19:55,XOM,Ação,124.61,61.23,BUY,22,44.9,50.0
2026-01-11 19:55,CVX,Ação,162.11,64.25,BUY,22,44.0,31.91
2026-01-11 19:55,NEE,Ação,79.89,44.52,SELL,22,47.06,44.44
2026-01-11 19:55,UPS,Ação,108.06,77.17,BUY,21,43.75,33.33
2026-01-11 19:55,T,Ação,23.99,37.73,SELL,21,54.29,43.9
2026-01-11 19:55,AVGO,Ação,344.97,46.03,SELL,20,46.67,40.0
2026-01-11 19:55,SCHD,ETF,28.55,70.37,BUY,20,41.67,25.71
2026-01-11 19:55,VRTX,Ação,463.86,55.65,BUY,20,40.0,42.86
2026-01-11 19:55,BA,Ação,234.53,76.14,BUY,19,38.24,52.5
2026-01-11 19:55,ISRG,Ação,586.24,60.41,BUY,18,37.93,57.5
2026-01-11 19:55,JNJ,Ação,204.39,47.93,BUY,18,72.46,42.86
2026-01-11 19:55,CMCSA,Ação,28.37,61.3,BUY,16,33.33,69.23
2026-01-11 19:55,IBM,Ação,304.22,52.83,SELL,16,45.71,65.62
2026-01-11 19:55,BAC,Ação,55.85,55.46,BUY,15,63.29,0.0
2026-01-11 19:55,ADP,Ação,266.02,60.06,SELL,15,50.0,62.16
2026-01-11 19:55,VUG,ETF,491.03,53.13,BUY,14,58.11,0.0
2026-01-11 19:55,NFLX,Ação,89.46,27.26,SELL,14,10.0,56.34
2026-01-11 19:55,TSLA,Ação,445.01,47.56,BUY,14,57.14,0.0
2026-01-11 19:55,AAPL,Ação,259.37,27.27,BUY,14,52.73,11.11
